Unofficial Name,Name,Actual Precedence,Precedence[ ],Precedence[ ] Corrected,WolframLanguageData[ ],WolframLanguageData[ ] Corrected,UnicodeCharacters.tr,UnicodeCharacters.tr Corrected,N Tokens,L Tokens,O Tokens,Usage,Parse,FullForm,Arity,Affix,Associativity,Meaningful,Comments
LessEqualGreater,LessEqualGreater,360,290,290,,50.0,390,390,{},"{""⋚""}",{},"{{""x"", ""⋚"", ""y""}}","{""LessEqualGreater"", ""["", ""x"", "","", ""y"", ""]""}","LessEqualGreater[x, y]",Binary,Infix,None,False,
LessFullEqual,LessFullEqual,360,290,290,,50.0,390,390,{},"{""≦""}",{},"{{""x"", ""≦"", ""y""}}","{""LessFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","LessFullEqual[x, y]",Binary,Infix,None,False,
LessGreater,LessGreater,360,290,290,,50.0,390,390,{},"{""≶""}",{},"{{""x"", ""≶"", ""y""}}","{""LessGreater"", ""["", ""x"", "","", ""y"", ""]""}","LessGreater[x, y]",Binary,Infix,None,False,
LessLess,LessLess,360,290,290,,50.0,390,390,{},"{""≪""}",{},"{{""x"", ""≪"", ""y""}}","{""LessLess"", ""["", ""x"", "","", ""y"", ""]""}","LessLess[x, y]",Binary,Infix,None,False,
LessSlantEqual,LessSlantEqual,360,670,290,,50.0,390,390,{},"{""⩽""}",{},"{{""x"", ""⩽"", ""y""}}","{""LessEqual"", ""["", ""x"", "","", ""y"", ""]""}","LessEqual[x, y]",Binary,Infix,None,False,
LessTilde,LessTilde,360,290,290,,50.0,390,390,{},"{""≲""}",{},"{{""x"", ""≲"", ""y""}}","{""LessTilde"", ""["", ""x"", "","", ""y"", ""]""}","LessTilde[x, y]",Binary,Infix,None,False,
NestedGreaterGreater,NestedGreaterGreater,360,290,290,,50.0,390,390,{},"{""⪢""}",{},"{{""x"", ""⪢"", ""y""}}","{""NestedGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}","NestedGreaterGreater[x, y]",Binary,Infix,None,False,
NestedLessLess,NestedLessLess,360,290,290,,50.0,390,390,{},"{""⪡""}",{},"{{""x"", ""⪡"", ""y""}}","{""NestedLessLess"", ""["", ""x"", "","", ""y"", ""]""}","NestedLessLess[x, y]",Binary,Infix,None,False,
NotCongruent,NotCongruent,360,290,290,,50.0,390,390,{},"{""≢""}",{},"{{""x"", ""≢"", ""y""}}","{""NotCongruent"", ""["", ""x"", "","", ""y"", ""]""}","NotCongruent[x, y]",Binary,Infix,None,False,
NotCupCap,NotCupCap,360,290,290,,50.0,390,390,{},"{""≭""}",{},"{{""x"", ""≭"", ""y""}}","{""NotCupCap"", ""["", ""x"", "","", ""y"", ""]""}","NotCupCap[x, y]",Binary,Infix,None,False,
NotEqualTilde,NotEqualTilde,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotEqualTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotEqualTilde[x, y]",Binary,Infix,None,False,
NotGreater,NotGreater,360,290,290,,50.0,390,390,{},"{""≯""}",{},"{{""x"", ""≯"", ""y""}}","{""NotGreater"", ""["", ""x"", "","", ""y"", ""]""}","NotGreater[x, y]",Binary,Infix,None,False,
NotGreaterEqual,NotGreaterEqual,360,290,290,,50.0,390,390,{},"{""≱""}",{},"{{""x"", ""≱"", ""y""}}","{""NotGreaterEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterEqual[x, y]",Binary,Infix,None,False,
NotGreaterFullEqual,NotGreaterFullEqual,360,290,290,,50.0,390,390,{},"{""≩""}",{},"{{""x"", ""≩"", ""y""}}","{""NotGreaterFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterFullEqual[x, y]",Binary,Infix,None,False,
NotGreaterGreater,NotGreaterGreater,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterGreater[x, y]",Binary,Infix,None,False,
NotGreaterLess,NotGreaterLess,360,290,290,,50.0,390,390,{},"{""≹""}",{},"{{""x"", ""≹"", ""y""}}","{""NotGreaterLess"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterLess[x, y]",Binary,Infix,None,False,
NotGreaterSlantEqual,NotGreaterSlantEqual,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotGreaterSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterSlantEqual[x, y]",Binary,Infix,None,False,
NotGreaterTilde,NotGreaterTilde,360,290,290,,50.0,390,390,{},"{""≵""}",{},"{{""x"", ""≵"", ""y""}}","{""NotGreaterTilde"", ""["", ""x"", "","", ""y"", ""]""}","NotGreaterTilde[x, y]",Binary,Infix,None,False,
NotHumpDownHump,NotHumpDownHump,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotHumpDownHump"", ""["", ""x"", "","", ""y"", ""]""}","NotHumpDownHump[x, y]",Binary,Infix,None,False,
NotHumpEqual,NotHumpEqual,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotHumpEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotHumpEqual[x, y]",Binary,Infix,None,False,
NotLeftTriangle,NotLeftTriangle,360,290,290,,50.0,390,390,{},"{""⋪""}",{},"{{""x"", ""⋪"", ""y""}}","{""NotLeftTriangle"", ""["", ""x"", "","", ""y"", ""]""}","NotLeftTriangle[x, y]",Binary,Infix,None,False,
NotLeftTriangleBar,NotLeftTriangleBar,360,290,290,,50.0,390,390,{},"{""""}",{},"{{""x"", """", ""y""}}","{""NotLeftTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}","NotLeftTriangleBar[x, y]",Binary,Infix,None,False,
NotLeftTriangleEqual,NotLeftTriangleEqual,360,290,290,,50.0,390,390,{},"{""⋬""}",{},"{{""x"", ""⋬"", ""y""}}","{""NotLeftTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotLeftTriangleEqual[x, y]",Binary,Infix,None,False,
NotLess,NotLess,360,290,290,,50.0,390,390,{},"{""≮""}",{},"{{""x"", ""≮"", ""y""}}","{""NotLess"", ""["", ""x"", "","", ""y"", ""]""}","NotLess[x, y]",Binary,Infix,None,False,
NotLessEqual,NotLessEqual,360,290,290,,50.0,390,390,{},"{""≰""}",{},"{{""x"", ""≰"", ""y""}}","{""NotLessEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotLessEqual[x, y]",Binary,Infix,None,False,
NotLessFullEqual,NotLessFullEqual,360,290,290,,50.0,390,390,{},"{""≨""}",{},"{{""x"", ""≨"", ""y""}}","{""NotLessFullEqual"", ""["", ""x"", "","", ""y"", ""]""}","NotLessFullEqual[x, y]",Binary,Infix,None,False,
NotLessGreater,NotLessGreater,360,290,290,,50.0,390,390,{},"{""≸""}",{},"{{""x"", ""≸"", ""y""}}","{""NotLessGreater"", ""["", ""x"", "","", ""y"", ""]""}","NotLessGreater[x, y]",Binary,Infix,None,False,
